3998,8,0,0,c
4000,8,0,0,c
4171,8,0,0,c
4185,4,4,0,a
4368,6,2,0,a
4501,8,0,0,c
4645,7,1,0,a
4891,8,0,0,c
4957,8,0,0,c
4971,8,0,0,c
4999,8,0,0,c
5124,5,2,1,a
5155,5,3,0,a
5220,6,2,0,a
5273,8,0,0,c
5319,6,2,0,a
5327,7,0,1,a
5422,8,0,0,c
5485,5,3,0,a
5589,4,3,1,a
5663,8,0,0,c
5740,8,0,0,c
5788,4,1,3,a
5825,8,0,0,c
5913,8,0,0,c
5924,8,0,0,c
5944,8,0,0,c
5946,8,0,0,c
6353,8,0,0,c
6360,8,0,0,c
6378,7,1,0,a
6417,8,0,0,c
6434,8,0,0,c
6438,8,0,0,c
6440,8,0,0,c
6485,8,0,0,c
6514,8,0,0,c
6697,8,0,0,c
6761,8,0,0,c
6771,8,0,0,c
6803,8,0,0,c
6811,7,1,0,a
6848,8,0,0,c
6857,8,0,0,c
6914,8,0,0,c
6928,6,0,2,a
6960,8,0,0,c
6985,8,0,0,c
6988,8,0,0,c
6992,8,0,0,c
7055,5,1,2,a
7062,7,0,1,a
10143,6,2,0,a
10182,7,0,1,a
10206,8,0,0,c
11869,8,0,0,c
11897,8,0,0,c
11925,8,0,0,c
12733,8,0,0,c
12784,8,0,0,c
12787,7,1,0,a
12799,8,0,0,c
12803,8,0,0,c
12807,4,4,0,a
12815,6,0,2,a
12868,8,0,0,c
12892,8,0,0,c
12895,7,0,1,a
12901,7,1,0,a
12924,5,3,0,a
12926,8,0,0,c
12938,6,2,0,a
12942,8,0,0,c
12972,6,2,0,a
12989,4,0,4,a
4367,0,8,0,w
4510,1,6,1,a
4939,3,5,0,a
5052,0,8,0,w
5156,0,8,0,w
5165,0,8,0,w
5244,3,5,0,a
5251,1,7,0,a
5325,4,4,0,a
5341,3,5,0,a
5540,1,5,2,a
5593,4,3,1,a
6432,6,2,0,a
6563,0,8,0,w
6666,5,1,2,a
6842,3,3,2,a
11786,0,8,0,w
11962,7,1,0,a
11968,3,4,1,a
12741,2,6,0,a
5186,0,0,8,a
5374,2,3,3,a
5385,3,0,5,a
6815,2,0,6,a
12817,4,0,4,a
