3998,6,0,0,c
4000,6,0,0,c
4171,6,0,0,c
4185,4,2,0,a
4368,4,2,0,a
4501,6,0,0,c
4645,6,0,0,c
4891,6,0,0,c
4957,6,0,0,c
4971,6,0,0,c
4999,6,0,0,c
5124,3,2,1,a
5155,3,3,0,a
5220,5,1,0,a
5273,6,0,0,c
5319,5,1,0,a
5327,5,0,1,a
5422,6,0,0,c
5485,5,1,0,a
5589,4,1,1,a
5663,6,0,0,c
5740,6,0,0,c
5788,2,1,3,a
5825,6,0,0,c
5913,6,0,0,c
5924,6,0,0,c
5944,6,0,0,c
5946,6,0,0,c
6353,6,0,0,c
6360,6,0,0,c
6378,5,1,0,a
6417,6,0,0,c
6434,6,0,0,c
6438,6,0,0,c
6440,6,0,0,c
6485,6,0,0,c
6514,6,0,0,c
6697,6,0,0,c
6761,6,0,0,c
6771,6,0,0,c
6803,6,0,0,c
6811,5,1,0,a
6848,6,0,0,c
6857,6,0,0,c
6914,6,0,0,c
6928,4,0,2,a
6960,6,0,0,c
6985,6,0,0,c
6988,6,0,0,c
6992,6,0,0,c
7055,4,1,1,a
7062,5,0,1,a
10143,4,2,0,a
10182,5,0,1,a
10206,6,0,0,c
11869,6,0,0,c
11897,6,0,0,c
11925,6,0,0,c
12733,6,0,0,c
12784,6,0,0,c
12787,5,1,0,a
12799,6,0,0,c
12803,6,0,0,c
12807,2,4,0,a
12815,5,0,1,a
12868,6,0,0,c
12892,6,0,0,c
12895,6,0,0,c
12901,6,0,0,c
12924,4,2,0,a
12926,6,0,0,c
12938,4,2,0,a
12942,6,0,0,c
12972,5,1,0,a
12989,2,0,4,a
4367,0,6,0,w
4510,1,4,1,a
4939,3,3,0,a
5052,0,6,0,w
5156,0,6,0,w
5165,0,6,0,w
5244,1,5,0,a
5251,1,5,0,a
5325,2,4,0,a
5341,2,4,0,a
5540,0,4,2,a
5593,3,3,0,a
6432,4,2,0,a
6563,0,6,0,w
6666,4,1,1,a
6842,1,3,2,a
11786,0,6,0,w
11962,5,1,0,a
11968,3,2,1,a
12741,1,5,0,a
5186,0,0,6,a
5374,1,2,3,a
5385,3,0,3,a
6815,2,0,4,a
12817,4,0,2,a
