3998,5,0,0,c
4000,5,0,0,c
4171,5,0,0,c
4185,3,2,0,a
4368,3,2,0,a
4501,5,0,0,c
4645,4,1,0,a
4891,5,0,0,c
4957,5,0,0,c
4971,5,0,0,c
4999,5,0,0,c
5124,4,1,0,a
5155,3,2,0,a
5220,5,0,0,c
5273,5,0,0,c
5319,4,1,0,a
5327,5,0,0,c
5422,5,0,0,c
5485,3,2,0,a
5589,3,2,0,a
5663,5,0,0,c
5740,5,0,0,c
5788,4,1,0,a
5825,5,0,0,c
5913,4,1,0,a
5924,5,0,0,c
5944,5,0,0,c
5946,5,0,0,c
6353,5,0,0,c
6360,5,0,0,c
6378,5,0,0,c
6417,5,0,0,c
6434,5,0,0,c
6438,5,0,0,c
6440,5,0,0,c
6485,5,0,0,c
6514,5,0,0,c
6697,5,0,0,c
6761,5,0,0,c
6771,5,0,0,c
6803,5,0,0,c
6811,4,1,0,a
6848,5,0,0,c
6857,5,0,0,c
6914,5,0,0,c
6928,4,0,1,a
6960,5,0,0,c
6985,5,0,0,c
6988,4,0,1,a
6992,5,0,0,c
7055,2,2,1,a
7062,5,0,0,c
10143,4,1,0,a
10182,5,0,0,c
10206,5,0,0,c
11869,5,0,0,c
11897,5,0,0,c
11925,5,0,0,c
12733,5,0,0,c
12784,5,0,0,c
12787,4,1,0,a
12799,5,0,0,c
12803,4,1,0,a
12807,3,2,0,a
12815,5,0,0,c
12868,4,1,0,a
12892,4,0,1,a
12895,5,0,0,c
12901,3,2,0,a
12924,5,0,0,c
12926,5,0,0,c
12938,3,2,0,a
12942,5,0,0,c
12972,4,1,0,a
12989,3,0,2,a
4367,0,5,0,w
4510,1,4,0,a
4939,1,4,0,a
5052,0,5,0,w
5156,0,5,0,w
5165,1,4,0,a
5244,2,3,0,a
5251,0,5,0,w
5325,3,2,0,a
5341,0,5,0,w
5540,1,4,0,a
5593,2,3,0,a
6432,4,1,0,a
6563,0,5,0,w
6666,3,1,1,a
6842,1,2,2,a
11786,0,5,0,w
11962,4,1,0,a
11968,1,3,1,a
12741,3,2,0,a
5186,0,0,5,a
5374,0,3,2,a
5385,1,0,4,a
6815,1,0,4,a
12817,2,0,3,a
