3998,4,0,0,c
4000,4,0,0,c
4171,4,0,0,c
4185,2,2,0,a
4368,2,2,0,a
4501,4,0,0,c
4645,4,0,0,c
4891,4,0,0,c
4957,4,0,0,c
4971,4,0,0,c
4999,4,0,0,c
5124,2,1,1,a
5155,2,2,0,a
5220,3,1,0,a
5273,4,0,0,c
5319,3,1,0,a
5327,3,0,1,a
5422,4,0,0,c
5485,3,1,0,a
5589,3,1,0,a
5663,4,0,0,c
5740,4,0,0,c
5788,2,0,2,a
5825,4,0,0,c
5913,4,0,0,c
5924,4,0,0,c
5944,4,0,0,c
5946,4,0,0,c
6353,4,0,0,c
6360,4,0,0,c
6378,3,1,0,a
6417,4,0,0,c
6434,4,0,0,c
6438,4,0,0,c
6440,4,0,0,c
6485,4,0,0,c
6514,4,0,0,c
6697,4,0,0,c
6761,4,0,0,c
6771,4,0,0,c
6803,4,0,0,c
6811,3,1,0,a
6848,4,0,0,c
6857,4,0,0,c
6914,4,0,0,c
6928,3,0,1,a
6960,4,0,0,c
6985,4,0,0,c
6988,4,0,0,c
6992,4,0,0,c
7055,3,0,1,a
7062,3,0,1,a
10143,3,1,0,a
10182,3,0,1,a
10206,4,0,0,c
11869,4,0,0,c
11897,4,0,0,c
11925,4,0,0,c
12733,4,0,0,c
12784,4,0,0,c
12787,3,1,0,a
12799,4,0,0,c
12803,4,0,0,c
12807,2,2,0,a
12815,4,0,0,c
12868,4,0,0,c
12892,4,0,0,c
12895,4,0,0,c
12901,4,0,0,c
12924,2,2,0,a
12926,4,0,0,c
12938,4,0,0,c
12942,4,0,0,c
12972,3,1,0,a
12989,2,0,2,a
4367,0,4,0,w
4510,0,3,1,a
4939,3,1,0,a
5052,0,4,0,w
5156,0,4,0,w
5165,0,4,0,w
5244,1,3,0,a
5251,1,3,0,a
5325,1,3,0,a
5341,1,3,0,a
5540,0,3,1,a
5593,2,2,0,a
6432,3,1,0,a
6563,0,4,0,w
6666,3,1,0,a
6842,1,3,0,a
11786,0,4,0,w
11962,3,1,0,a
11968,3,1,0,a
12741,1,3,0,a
5186,0,0,4,a
5374,1,0,3,a
5385,2,0,2,a
6815,1,0,3,a
12817,2,0,2,a
